Date,Stars,Helpful Votes
March/29/2017,4.0,0
June/23/2017,5.0,0
January/8/2018,5.0,0
August/30/2017,5.0,0
December/30/2017,3.0,0
March/19/2017,4.0,0
November/9/2017,3.0,0
September/19/2015,4.0,0
January/29/2018,1.0,0
December/13/2016,2.0,0
June/22/2018,5.0,0
July/1/2014,2.0,0
June/4/2018,1.0,0
February/4/2015,5.0,0
February/7/2016,4.0,0
October/13/2015,5.0,0
August/6/2015,1.0,0
June/21/2017,5.0,0
April/15/2014,4.0,0
July/13/2017,5.0,0
December/28/2015,1.0,0
September/5/2017,4.0,0
November/4/2015,3.0,0
December/7/2011,5.0,0
November/5/2017,5.0,0
January/19/2013,3.0,0
February/18/2015,5.0,0
July/27/2016,3.0,0
March/20/2016,3.0,0
October/17/2017,5.0,0
January/2/2014,5.0,0
July/22/2017,5.0,0
February/23/2018,3.0,0
April/12/2016,1.0,0
May/9/2017,5.0,0
March/11/2013,4.0,0
July/2/2018,2.0,0
August/17/2017,5.0,0
March/4/2018,5.0,0
January/22/2014,2.0,0
May/20/2015,1.0,0
April/30/2017,5.0,0
February/9/2015,3.0,0
August/19/2015,1.0,0
June/18/2014,3.0,0
June/22/2017,5.0,0
December/7/2014,5.0,0
February/6/2017,5.0,0
July/24/2017,5.0,0
July/14/2016,5.0,0
June/3/2017,5.0,0
June/2/2018,3.0,0
December/28/2016,2.0,0
October/25/2017,5.0,0
May/7/2016,5.0,0
September/22/2018,2.0,0
March/30/2016,2.0,0
September/14/2013,3.0,0
February/18/2013,5.0,0
November/29/2016,5.0,0
February/25/2013,5.0,0
September/2/2016,1.0,0
July/27/2017,4.0,0
April/15/2014,4.0,0
September/22/2018,1.0,0
July/22/2016,5.0,0
February/3/2018,3.0,0
March/27/2018,5.0,0
January/17/2017,4.0,0
July/29/2016,1.0,0
February/25/2015,5.0,0
January/25/2018,5.0,0
July/20/2012,5.0,0
December/29/2017,5.0,0
December/23/2016,5.0,0
May/11/2016,5.0,0
June/19/2013,5.0,0
April/7/2018,3.0,0
December/12/2014,1.0,0
October/21/2016,5.0,0
January/9/2015,1.0,0
April/15/2017,5.0,0
August/16/2017,4.0,0
June/2/2012,5.0,0
September/23/2013,4.0,0
October/18/2017,3.0,0
January/22/2018,3.0,0
March/8/2016,3.0,0
April/5/2016,4.0,0
April/24/2017,5.0,0
September/20/2016,4.0,0
April/3/2018,5.0,0
August/23/2016,4.0,0
February/24/2016,4.0,0
October/6/2016,3.0,0
September/11/2017,5.0,0
October/29/2013,3.0,0
August/4/2018,5.0,0
March/11/2018,1.0,0
January/3/2018,5.0,0
October/12/2016,2.0,0
June/30/2018,4.0,0
May/11/2018,2.0,0
June/16/2017,3.0,0
July/13/2017,5.0,0
October/11/2015,3.0,0
August/28/2018,3.0,0
August/5/2015,5.0,0
August/30/2016,3.0,0
February/15/2013,4.0,0
March/17/2015,3.0,0
December/28/2012,5.0,0
December/21/2017,5.0,0
April/28/2016,1.0,0
July/10/2018,5.0,0
June/18/2014,5.0,0
April/12/2018,4.0,0
September/3/2016,5.0,0
June/9/2016,5.0,0
October/23/2012,5.0,0
June/23/2016,3.0,0
January/8/2017,5.0,0
March/1/2017,5.0,0
September/15/2018,5.0,0
November/6/2017,5.0,0
August/6/2013,3.0,0
June/17/2017,1.0,0
August/29/2017,5.0,0
October/5/2015,2.0,0
May/29/2018,5.0,0
December/14/2014,4.0,0
March/4/2018,4.0,0
May/15/2017,4.0,0
